DataStructure,Method,N,TimeMs
Stack,Push,10000,0,
Stack,Find,10000,396,
Stack,Pop,10000,0,
Stack,Push,100000,20,
Stack,Find,100000,40786,
Stack,Pop,100000,1,
Stack,Push,200000,13,
Stack,Find,200000,165150,
Stack,Pop,200000,3,
Queue,Push,1000,0,
Queue,Find,1000,4,
Queue,Pop,1000,0,
Queue,Push,10000,1,
Queue,Find,10000,389,
Queue,Pop,10000,0,
Queue,Push,100000,3,
Queue,Find,100000,42745,
Queue,Pop,100000,0,
Queue,Push,200000,12,
Queue,Find,200000,172315,
Queue,Pop,200000,2,
One-way list,Push,1000,0,
One-way list,Pop Back,1000,4,
One-way list,Pop Front,1000,0,
One-way list,Insert,1000,4,
One-way list,Delete,1000,5,
One-way list,Push,10000,0,
One-way list,Pop Back,10000,556,
One-way list,Pop Front,10000,0,
One-way list,Insert,10000,427,
One-way list,Delete,10000,495,
One-way list,Push,100000,13,
One-way list,Pop Back,100000,42554,
One-way list,Pop Front,100000,0,
One-way list,Insert,100000,42016,
One-way list,Delete,100000,46120,
One-way list,Push,200000,17,
One-way list,Pop Back,200000,166373,
One-way list,Pop Front,200000,1,
One-way list,Insert,200000,164967,
One-way list,Delete,200000,206452,
Two-way list,Push,1000,0,
Two-way list,Pop,1000,0,
Two-way list,Insert,1000,3,
Two-way list,Delete,1000,3,
Two-way list,Push,10000,0,
Two-way list,Pop,10000,0,
Two-way list,Insert,10000,336,
Two-way list,Delete,10000,257,
Two-way list,Push,100000,9,
Two-way list,Pop,100000,5,
Two-way list,Insert,100000,35002,
Two-way list,Delete,100000,27117,
Two-way list,Push,200000,17,
Two-way list,Pop,200000,3,
Two-way list,Insert,200000,146274,
Two-way list,Delete,200000,119599,
Cycle List,Push,1000,0,
Cycle List,Pop,1000,0,
Cycle List,Insert,1000,4,
Cycle List,Delete,1000,4,
Cycle List,Push,10000,0,
Cycle List,Pop,10000,0,
Cycle List,Insert,10000,400,
Cycle List,Delete,10000,423,
Cycle List,Push,100000,13,
Cycle List,Pop,100000,2,
Cycle List,Insert,100000,42570,
Cycle List,Delete,100000,46530,
Cycle List,Push,200000,35,
Cycle List,Pop,200000,6,
Cycle List,Insert,200000,169278,
Cycle List,Delete,200000,208621,
Stack,Push,1000,0,
Stack,Find,1000,4,
Stack,Pop,1000,0,
Stack,Push,10000,0,
Stack,Find,10000,407,
Stack,Pop,10000,0,
Stack,Push,100000,13,
Stack,Find,100000,43730,
Stack,Pop,100000,1,
Stack,Push,200000,11,
Stack,Find,200000,174773,
Stack,Pop,200000,4,
Queue,Push,1000,0,
Queue,Find,1000,4,
Queue,Pop,1000,0,
Queue,Push,10000,1,
Queue,Find,10000,410,
Queue,Pop,10000,0,
Queue,Push,100000,2,
Queue,Find,100000,42571,
Queue,Pop,100000,0,
Queue,Push,200000,11,
Queue,Find,200000,175606,
Queue,Pop,200000,2,
Set,Add,1000,1,
Set,Remove,1000,0,
Set,Contains,1000,0,
Set,Add,10000,0,
Set,Remove,10000,0,
Set,Contains,10000,0,
Set,Add,100000,18,
Set,Remove,100000,4,
Set,Contains,100000,3,
Set,Add,200000,62,
Set,Remove,200000,7,
Set,Contains,200000,7,
Set,Add,300000,88,
Set,Remove,300000,20,
Set,Contains,300000,18,
Set,Add,1000000,241,
Set,Remove,1000000,33,
Set,Contains,1000000,29,
Set,Add,1000,1,
Set,Remove,1000,0,
Set,Contains,1000,0,
Set,Add,10000,1,
Set,Remove,10000,0,
Set,Contains,10000,0,
Set,Add,100000,16,
Set,Remove,100000,2,
Set,Contains,100000,3,
Set,Add,200000,52,
Set,Remove,200000,5,
Set,Contains,200000,4,
Set,Add,300000,82,
Set,Remove,300000,4,
Set,Contains,300000,6,
Set,Add,1000000,204,
Set,Remove,1000000,36,
Set,Contains,1000000,31,
Set,Add,1000,1,
Set,Remove,1000,0,
Set,Contains,1000,0,
Set,Add,10000,0,
Set,Remove,10000,0,
Set,Contains,10000,0,
Set,Add,100000,20,
Set,Remove,100000,2,
Set,Contains,100000,3,
Set,Add,200000,81,
Set,Remove,200000,16,
Set,Contains,200000,31,
Set,Add,300000,69,
Set,Remove,300000,17,
Set,Contains,300000,9,
Set,Add,1000000,218,
Set,Remove,1000000,24,
Set,Contains,1000000,24,
